"Naam";"ISIN";"Symbol";"Market";"Trading Currency";"Open";"Hoog";"Laag";"Last";"Last Date/Time";"Time Zone";"Volume";"Turnover"
"IMPRIMERIE CHIRAT";"FR0000065773";"MLIMP";"Euronext Access Paris";"EUR";"12.40";"12.40";"12.40";"12.40";"22/03/2019 11:30";"CET";"1";"12.40"
"INAPA-INV.P.GESTAO";"PTINA0AP0008";"INA";"Euronext Lisbon";"EUR";"0.0792";"0.0834";"0.0772";"0.0828";"22/03/2019 21:13";"BST";"112200";"9024.192"
"INAPA-PREF S/ VOTO";"PTINA2VP0019";"INAP";"Euronext Lisbon";"EUR";"0.08";"0.08";"0.08";"0.08";"06/03/2019 16:30";"BST";"2538";"203.04"
"IND. NEWS & MEDIA";"IE00B59HWB19";"IPDC";"Euronext Dublin";"EUR";"0.0632";"0.065";"0.0632";"0.065";"21/03/2019 15:26";"UTC";"1770";"112.14"
"INDLE FIN.ENTREPR.";"FR0000066219";"INFE";"Euronext Paris";"EUR";"57.50";"57.50";"57.50";"57.50";"20/03/2019 16:30";"CET";"15";"862.50"
"INFOCLIP";"FR0011158823";"MLIFC";"Euronext Access Paris";"EUR";"2.00";"2.20";"2.00";"2.20";"01/03/2019 16:30";"CET";"51";"102.20"
"INFOTEL";"FR0000071797";"INF";"Euronext Paris";"EUR";"37.65";"37.65";"37.10";"37.15";"22/03/2019 17:35";"CET";"3193";"119048.30"
"ING GROEP N.V.";"NL0011821202";"INGA";"Euronext Amsterdam, Brussels";"EUR";"10.798";"10.894";"10.436";"10.464";"22/03/2019 17:37";"CET";"21336364";"225214135.822"
"INGENICO GROUP";"FR0000125346";"ING";"Euronext Paris";"EUR";"64.26";"64.30";"62.96";"63.18";"22/03/2019 17:35";"CET";"214484";"13584828.14"
"INNATE PHARMA";"FR0010331421";"IPH";"Euronext Paris";"EUR";"6.65";"6.65";"6.18";"6.26";"22/03/2019 17:35";"CET";"559614";"3551707.555"
"INNELEC MULTIMEDIA";"FR0000064297";"INN";"Euronext Paris";"EUR";"5.00";"5.08";"4.96";"4.96";"22/03/2019 16:59";"CET";"1422";"7147.59"
"INNOVADERMA PLC";"GB00BT9PTW34";"MLIDP";"Euronext Access Paris";"EUR";"0.70";"0.70";"0.70";"0.70";"05/09/2016 15:00";"CET";"75";"52.50"
"INSIDE SECURE";"FR0010291245";"INSD";"Euronext Paris";"EUR";"1.75";"1.798";"1.734";"1.746";"22/03/2019 17:35";"CET";"256126";"453549.236"
"INSTALLUX";"FR0000060451";"STAL";"Euronext Paris";"EUR";"332.00";"332.00";"332.00";"332.00";"22/03/2019 13:42";"CET";"9316";"3074286.00"
"INTEGRAGEN";"FR0010908723";"ALINT";"Euronext Growth Paris";"EUR";"1.175";"1.21";"1.17";"1.17";"22/03/2019 17:23";"CET";"26247";"31136.615"
"INTEL CORP";"US4581401001";"INCO";"Traded not listed Brussels";"USD";"52.00";"52.00";"52.00";"52.00";"27/02/2019 16:26";"CET";"100";"4567.01"
"INTERPARFUMS";"FR0004024222";"ITP";"Euronext Paris";"EUR";"47.55";"47.55";"45.75";"46.00";"22/03/2019 17:35";"CET";"16297";"757148.90"
"INTERTRUST";"NL0010937058";"INTER";"Euronext Amsterdam";"EUR";"16.94";"16.94";"16.41";"16.47";"22/03/2019 17:35";"CET";"69412";"1150338.26"
"INTERVEST OFF-WARE";"BE0003746600";"INTO";"Euronext Brussels";"EUR";"23.00";"23.20";"23.00";"23.05";"22/03/2019 17:35";"CET";"28759";"664072.15"
"INTEXA";"FR0000064958";"ITXT";"Euronext Paris";"EUR";"2.50";"2.50";"2.50";"2.50";"04/03/2019 16:30";"CET";"20";"50.00"
"INTLE PLANT.HEVEAS";"FR0000036857";"SIPH";"Euronext Paris";"EUR";"84.90";"84.90";"84.90";"84.90";"20/03/2019 00:00";"CET";"12";"1018.80"
"INTRASENSE";"FR0011179886";"ALINS";"Euronext Growth Paris";"EUR";"0.2555";"0.2595";"0.251";"0.2585";"22/03/2019 16:48";"CET";"67609";"17281.745"
"INVENTIVA";"FR0013233012";"IVA";"Euronext Paris";"EUR";"3.51";"3.60";"3.46";"3.52";"22/03/2019 17:35";"CET";"8916";"31442.08"
"INVIBES ADVERTSING";"BE0974299316";"ALINV";"Euronext Growth Paris";"EUR";"5.60";"5.60";"5.60";"5.60";"21/03/2019 13:21";"CET";"900";"5040.00"
"IOC HOLDING";"BE6200101556";"MLIOC";"Euronext Access Paris";"EUR";"0.25";"0.25";"0.25";"0.25";"18/03/2019 11:30";"CET";"1360";"340.00"
"IPSEN";"FR0010259150";"IPN";"Euronext Paris";"EUR";"122.50";"122.95";"119.55";"119.55";"22/03/2019 17:35";"CET";"95244";"11450879.65"
"IPSEN NV19";"FR0013391661";"IPNNV";"Euronext Paris";"EUR";"-";"-";"-";"-";"-";"-";"-";"-"
"IPSOS";"FR0000073298";"IPS";"Euronext Paris";"EUR";"22.84";"22.98";"22.52";"22.52";"22/03/2019 17:35";"CET";"30787";"696187.32"
"IPSOS NV19";"FR0013391687";"IPSNV";"Euronext Paris";"EUR";"-";"-";"-";"-";"-";"-";"-";"-"
"IRISH CONT. GP.";"IE00BLP58571";"IR5B";"Euronext Dublin";"EUR";"5.00";"5.12";"4.87";"4.95";"21/03/2019 16:39";"UTC";"69551";"343762.53"
"IRISH RES. PROP.";"IE00BJ34P519";"IRES";"Euronext Dublin";"EUR";"1.594";"1.604";"1.582";"1.60";"21/03/2019 16:32";"UTC";"551895";"880596.07"
"ISA";"PTIAN0AM0001";"ALISA";"Euronext Growth Lisbon";"EUR";"5.15";"5.15";"5.15";"5.15";"03/12/2013 20:30";"BST";"500";"2575.00"
"IT LINK";"FR0000072597";"ITL";"Euronext Paris";"EUR";"9.66";"9.70";"8.90";"9.06";"22/03/2019 17:35";"CET";"4039";"37408.18"
"ITALY INNOVAZIONI";"IT0005336521";"MLITN";"Euronext Access Paris";"EUR";"3.94";"3.94";"3.94";"3.94";"12/03/2019 11:30";"CET";"500";"1970.00"
"ITESOFT";"FR0004026151";"ITE";"Euronext Paris";"EUR";"3.10";"3.10";"3.10";"3.10";"22/03/2019 13:34";"CET";"2401";"7443.10"
"ITS GROUP";"FR0000073843";"ITS";"Euronext Paris";"EUR";"4.71";"4.71";"4.71";"4.71";"22/03/2019 12:53";"CET";"501";"2359.71"
"IVALIS";"FR0010082305";"ALIVA";"Euronext Growth Paris";"EUR";"22.00";"22.00";"22.00";"22.00";"24/10/2017 17:38";"CET";"50";"1100.00"
"J.MARTINS,SGPS";"PTJMT0AE0001";"JMT";"Euronext Lisbon";"EUR";"13.50";"13.55";"13.26";"13.26";"22/03/2019 22:35";"BST";"773806";"10334870.79"
"JACQUES BOGART";"FR0012872141";"JBOG";"Euronext Paris";"EUR";"7.92";"8.12";"7.80";"8.10";"22/03/2019 17:28";"CET";"3447";"27346.86"
"JACQUET METAL SCE";"FR0000033904";"JCQ";"Euronext Paris";"EUR";"16.14";"16.14";"15.46";"15.54";"22/03/2019 17:35";"CET";"84144";"1327298.86"
"JC DECAUX NV19";"FR0013393410";"DECNV";"Euronext Paris";"EUR";"25.62";"25.62";"25.62";"25.62";"11/03/2019 11:30";"CET";"570";"14603.40"
"JC DECAUX SA.";"FR0000077919";"DEC";"Euronext Paris";"EUR";"27.54";"27.74";"27.22";"27.34";"22/03/2019 17:35";"CET";"192595";"5277870.24"
"JENSEN-GROUP";"BE0003858751";"JEN";"Euronext Brussels";"EUR";"34.20";"35.20";"34.10";"34.10";"22/03/2019 17:35";"CET";"2961";"102792.40"
"JSA TECHNOLOGY";"FR0010680033";"MLJSA";"Euronext Access Paris";"EUR";"0.242";"0.242";"0.242";"0.242";"18/03/2019 16:30";"CET";"1400";"338.80"
"KALRAY";"FR0010722819";"ALKAL";"Euronext Growth Paris";"EUR";"16.20";"16.35";"16.20";"16.202";"22/03/2019 14:37";"CET";"602";"9794.502"
"KARDAN";"NL0000113652";"KARD";"Euronext Amsterdam";"EUR";"0.0799";"0.0799";"0.078";"0.078";"22/03/2019 15:38";"CET";"13750";"1079.625"
"KAS BANK";"NL0000362648";"KA";"Euronext Amsterdam";"EUR";"12.26";"12.28";"12.26";"12.28";"22/03/2019 17:35";"CET";"42405";"520637.30"
"KAUFMAN ET BROAD";"FR0004007813";"KOF";"Euronext Paris";"EUR";"33.90";"34.56";"33.84";"34.56";"22/03/2019 17:35";"CET";"31689";"1084756.50"
"KBC";"BE0003565737";"KBC";"Euronext Brussels";"EUR";"62.72";"63.08";"61.22";"61.42";"22/03/2019 17:35";"CET";"855772";"52721130.84"
"KBC ANCORA";"BE0003867844";"KBCA";"Euronext Brussels";"EUR";"42.70";"42.76";"41.82";"42.02";"22/03/2019 17:35";"CET";"47728";"2021824.48"
"KENDRION";"NL0000852531";"KENDR";"Euronext Amsterdam";"EUR";"21.00";"21.00";"20.05";"20.05";"22/03/2019 17:35";"CET";"18030";"369000.50"
"KENMARE RESOURCES";"IE00BDC5DG00";"KMR";"Euronext Dublin";"EUR";"2.30";"2.35";"2.30";"2.35";"20/03/2019 12:46";"UTC";"9156";"21433.80"
"KERING";"FR0000121485";"KER";"Euronext Paris";"EUR";"504.80";"507.80";"490.10";"492.20";"22/03/2019 17:37";"CET";"241701";"119572965.20"
"KERLINK";"FR0013156007";"ALKLK";"Euronext Growth Paris";"EUR";"2.50";"2.52";"2.49";"2.49";"22/03/2019 17:26";"CET";"1632";"4094.45"
"KERRY GROUP PLC";"IE0004906560";"KRZ";"Euronext Dublin";"EUR";"95.55";"97.80";"95.55";"96.70";"21/03/2019 16:31";"UTC";"139983";"13545589.26"
"KEYRUS";"FR0004029411";"KEY";"Euronext Paris";"EUR";"4.83";"4.83";"4.72";"4.72";"22/03/2019 17:35";"CET";"5654";"26984.19"
"KEYWARE TECH.";"BE0003880979";"KEYW";"Euronext Brussels";"EUR";"0.99";"0.99";"0.99";"0.99";"22/03/2019 10:25";"CET";"400";"396.00"
"KEYYO";"FR0000185621";"ALKEY";"Euronext Growth Paris";"EUR";"33.90";"34.00";"33.90";"34.00";"21/03/2019 13:10";"CET";"301";"10233.90"
"KIADIS";"NL0011323407";"KDS";"Euronext Amsterdam, Brussels";"EUR";"8.96";"9.00";"8.75";"8.78";"22/03/2019 17:35";"CET";"83179";"735341.60"
"KINEPOLIS GROUP";"BE0974274061";"KIN";"Euronext Brussels";"EUR";"49.00";"49.95";"48.45";"49.40";"22/03/2019 17:35";"CET";"21064";"1033216.80"
"KINGSPAN GROUP PLC";"IE0004927939";"KRX";"Euronext Dublin";"EUR";"42.44";"42.78";"41.38";"41.38";"21/03/2019 16:30";"UTC";"398277";"16633209.46"
"KKO INT WARRANT A";"FR0013381951";"KKOWA";"Euronext Growth Paris, Brussels";"EUR";"0.0005";"0.0005";"0.0005";"0.0005";"22/03/2019 11:24";"CET";"14600";"7.30"
"KKO INTERNATIONAL";"FR0013374667";"ALKKO";"Euronext Growth Paris, Brussels";"EUR";"0.0932";"0.0966";"0.089";"0.095";"22/03/2019 17:35";"CET";"961976";"87520.0514"
"KLEPIERRE";"FR0000121964";"LI";"Euronext Paris";"EUR";"31.01";"31.07";"30.61";"30.66";"22/03/2019 17:35";"CET";"797595";"24509879.11"
"KORIAN";"FR0010386334";"KORI";"Euronext Paris";"EUR";"34.94";"35.66";"34.76";"34.80";"22/03/2019 17:35";"CET";"172134";"6045093.22"
"KPN KON";"NL0000009082";"KPN";"Euronext Amsterdam";"EUR";"2.855";"2.86";"2.83";"2.845";"22/03/2019 17:36";"CET";"11605731";"33020198.214"
"KRIEF GROUP";"FR0004152700";"MLKRI";"Euronext Access Paris";"EUR";"1.50";"1.50";"1.50";"1.50";"04/03/2019 16:30";"CET";"240";"360.00"
"L'OREAL";"FR0000120321";"OR";"Euronext Paris";"EUR";"237.10";"237.70";"234.10";"234.70";"22/03/2019 17:35";"CET";"527129";"123986048.90"
"L'OREAL NV19";"FR0013383247";"ORNV";"Euronext Paris";"EUR";"-";"-";"-";"-";"-";"-";"-";"-"
"LA FONCIERE VERTE";"FR0000039638";"LFVE";"Euronext Paris";"EUR";"57.00";"57.00";"57.00";"57.00";"07/03/2018 11:30";"CET";"1";"57.00"
"LACROIX SA";"FR0000066607";"LACR";"Euronext Paris";"EUR";"21.80";"21.80";"21.60";"21.60";"22/03/2019 09:53";"CET";"230";"5002.60"
"LAFARGEHOLCIM LTD";"CH0012214059";"LHN";"Euronext Paris";"EUR";"44.81";"45.14";"43.51";"43.52";"22/03/2019 17:35";"CET";"24633";"1087101.62"
"LAFUMA";"FR0000035263";"LAF";"Euronext Paris";"EUR";"21.60";"21.60";"21.60";"21.60";"22/03/2019 16:30";"CET";"100";"2160.00"
"LAGARDERE S.C.A.";"FR0000130213";"MMB";"Euronext Paris";"EUR";"22.91";"23.30";"22.80";"22.95";"22/03/2019 17:36";"CET";"364585";"8377119.30"
"LANSON-BCC";"FR0004027068";"LAN";"Euronext Paris";"EUR";"28.40";"29.80";"28.20";"28.60";"22/03/2019 17:03";"CET";"1755";"50040.60"
"LATECOERE";"FR0000032278";"LAT";"Euronext Paris";"EUR";"3.235";"3.245";"3.16";"3.16";"22/03/2019 17:35";"CET";"113212";"360580.615"
"LAURENT-PERRIER";"FR0006864484";"LPE";"Euronext Paris";"EUR";"91.80";"92.40";"91.80";"91.80";"22/03/2019 17:35";"CET";"430";"39493.20"
"LAVIDE HOLDING";"NL0010545679";"LVIDE";"Euronext Amsterdam";"EUR";"0.52";"0.525";"0.48";"0.48";"21/03/2019 15:27";"CET";"5152";"2677.79"
"LDC";"FR0013204336";"LOUP";"Euronext Paris";"EUR";"105.50";"107.50";"104.50";"104.50";"22/03/2019 17:35";"CET";"2586";"273014.00"
"LE TANNEUR";"FR0000075673";"LTAN";"Euronext Paris";"EUR";"2.08";"2.08";"2.08";"2.08";"21/03/2019 11:30";"CET";"25";"52.00"
"LEASINVEST";"BE0003770840";"LEAS";"Euronext Brussels";"EUR";"101.00";"102.50";"99.80";"102.00";"22/03/2019 17:35";"CET";"2474";"250435.80"
"LEBON";"FR0000121295";"LBON";"Euronext Paris";"EUR";"129.50";"129.50";"129.00";"129.00";"22/03/2019 17:35";"CET";"96";"12389.50"
"LECTRA";"FR0000065484";"LSS";"Euronext Paris";"EUR";"22.00";"22.10";"21.60";"21.70";"22/03/2019 17:35";"CET";"6111";"132987.65"
"LECTRA NV19";"FR0013391695";"LSSNV";"Euronext Paris";"EUR";"-";"-";"-";"-";"-";"-";"-";"-"
"LEGRAND";"FR0010307819";"LR";"Euronext Paris";"EUR";"60.22";"60.36";"58.58";"58.62";"22/03/2019 17:35";"CET";"482634";"28453651.32"
"LES HOTELS BAVEREZ";"FR0007080254";"ALLHB";"Euronext Growth Paris";"EUR";"67.00";"67.00";"67.00";"67.00";"21/03/2019 11:30";"CET";"114";"7638.00"
"LESNXCONSTRUCTEURS";"FR0004023208";"LNC";"Euronext Paris";"EUR";"41.50";"41.70";"40.70";"41.00";"22/03/2019 17:35";"CET";"2419";"100006.20"
"LEXIBOOK LINGUIST.";"FR0000033599";"ALLEX";"Euronext Growth Paris";"EUR";"0.824";"0.848";"0.812";"0.836";"22/03/2019 17:02";"CET";"3669";"3008.776"
"LILLY AND CO";"US5324571083";"LLY";"Euronext Paris";"EUR";"102.00";"102.00";"102.00";"102.00";"18/02/2019 09:02";"CET";"28";"2856.00"
"LINEDATA SERVICES";"FR0004156297";"LIN";"Euronext Paris";"EUR";"29.85";"29.85";"29.55";"29.60";"22/03/2019 16:53";"CET";"680";"20173.25"
"LISGRAFICA";"PTLIG0AE0002";"LIG";"Euronext Lisbon";"EUR";"0.009";"0.009";"0.009";"0.009";"20/03/2019 21:30";"BST";"10";"0.09"
"LISI";"FR0000050353";"FII";"Euronext Paris";"EUR";"25.20";"25.20";"23.25";"23.55";"22/03/2019 17:35";"CET";"12019";"287648.25"
"LITHO FORMAS";"PTLIT0AE0005";"LIT";"Euronext Access Lisbon";"EUR";"0.236";"0.236";"0.236";"0.236";"08/03/2019 16:30";"BST";"10";"2.36"
"LLEIDA";"ES0105089009";"ALLLN";"Euronext Growth Paris";"EUR";"1.21";"1.21";"1.21";"1.21";"22/03/2019 11:30";"CET";"1";"1.21"
"LNA SANTE";"FR0004170017";"LNA";"Euronext Paris";"EUR";"45.80";"46.05";"45.45";"45.45";"22/03/2019 17:35";"CET";"4692";"214333.20"
"LOCASYSTEM INTL";"FR0004155208";"MLLOI";"Euronext Access Paris";"EUR";"3.50";"3.50";"3.50";"3.50";"25/08/2017 11:30";"CET";"1";"3.50"
"LOGIC INSTRUMENT";"FR0000044943";"ALLOG";"Euronext Growth Paris";"EUR";"0.65";"0.67";"0.65";"0.67";"22/03/2019 09:15";"CET";"1722";"1120.46"
"LOGIS CONFORT";"ES0105333001";"MLLOG";"Euronext Access Paris";"EUR";"-";"-";"-";"-";"-";"-";"-";"-"
"LOMBARD ET MEDOT";"FR0006205019";"MLCAC";"Euronext Access Paris";"EUR";"13.80";"14.20";"13.80";"14.20";"20/03/2019 16:30";"CET";"167";"2318.60"
"LOTUS BAKERIES";"BE0003604155";"LOTB";"Euronext Brussels";"EUR";"2420.00";"2420.00";"2310.00";"2350.00";"22/03/2019 17:35";"CET";"491";"1159470.00"
"LUCASBOLS";"NL0010998878";"BOLS";"Euronext Amsterdam";"EUR";"16.50";"16.50";"16.00";"16.00";"22/03/2019 17:35";"CET";"9752";"157611.85"
"LUCIBEL";"FR0011884378";"ALUCI";"Euronext Growth Paris";"EUR";"1.00";"1.018";"0.96";"1.006";"22/03/2019 16:13";"CET";"25320";"25021.999"
"LUMIBIRD";"FR0000038242";"LBIRD";"Euronext Paris";"EUR";"15.26";"15.30";"14.70";"14.90";"22/03/2019 17:35";"CET";"14105";"211330.70"
"LUX-AIRPORT CERT";"LU0092846210";"LUXA";"Euronext Brussels";"EUR";"250.00";"250.00";"250.00";"250.00";"11/03/2019 11:30";"CET";"25";"6250.00"
"LV4S";"BE6201089735";"MLV4S";"Euronext Access Paris";"EUR";"1.50";"1.50";"1.50";"1.50";"22/03/2019 11:30";"CET";"60";"90.00"
"LVMH";"FR0000121014";"MC";"Euronext Paris";"EUR";"319.35";"320.80";"312.40";"313.45";"22/03/2019 17:35";"CET";"682749";"214859075.80"
"LVMH NV19";"FR0013390648";"MCNV";"Euronext Paris";"EUR";"310.00";"310.00";"310.00";"310.00";"22/03/2019 16:30";"CET";"12";"3720.00"
"LYSOGENE";"FR0013233475";"LYS";"Euronext Paris";"EUR";"2.32";"2.37";"2.26";"2.27";"22/03/2019 17:23";"CET";"12125";"27955.94"
"M.R.M";"FR0000060196";"MRM";"Euronext Paris";"EUR";"1.43";"1.43";"1.43";"1.43";"22/03/2019 11:30";"CET";"2";"2.86"
"M2I";"FR0013270626";"ALMII";"Euronext Growth Paris";"EUR";"5.75";"5.75";"5.65";"5.65";"22/03/2019 17:25";"CET";"984";"5613.058"
"MADE";"FR0010328302";"MLMAD";"Euronext Access Paris";"EUR";"4.84";"4.84";"4.84";"4.84";"20/03/2019 11:30";"CET";"5";"24.20"
"MADVERTISE";"FR0010812230";"ALMNG";"Euronext Growth Paris";"EUR";"0.421";"0.421";"0.421";"0.421";"22/03/2019 17:15";"CET";"1901";"800.321"
"MAGILLEM";"FR0010827741";"MLMGL";"Euronext Access Paris";"EUR";"14.10";"14.80";"14.10";"14.80";"22/03/2019 16:30";"CET";"330";"4656.50"
"MAINSTAY MED. INT.";"IE00BJYS1G50";"MSTY1";"Euronext Growth Dublin";"EUR";"3.76";"3.76";"3.76";"3.76";"18/03/2019 08:42";"UTC";"497";"1868.72"
"MAINSTAY MEDICAL";"IE00BJYS1G50";"MSTY";"Euronext Paris";"EUR";"3.46";"3.56";"3.46";"3.56";"22/03/2019 09:22";"CET";"1331";"4681.44"
"MAIS.ANTOINE BAUD";"FR0000061657";"MLMAB";"Euronext Access Paris";"EUR";"118.00";"118.00";"118.00";"118.00";"25/02/2019 14:29";"CET";"40";"4720.00"
"MAISON CLIO BLUE";"FR0011092089";"MLCLI";"Euronext Access Paris";"EUR";"1.92";"1.92";"1.92";"1.92";"12/02/2019 16:30";"CET";"1055";"2025.60"
"MAISONS D''AUJOURD";"FR0010515742";"MLMAI";"Euronext Access Paris";"EUR";"0.87";"0.87";"0.87";"0.87";"06/03/2019 11:30";"CET";"100";"87.00"
"MAISONS DU MONDE";"FR0013153541";"MDM";"Euronext Paris";"EUR";"18.68";"18.76";"18.13";"18.56";"22/03/2019 17:38";"CET";"283844";"5242314.51"
"MAISONS FRANCE";"FR0004159473";"MFC";"Euronext Paris";"EUR";"36.15";"36.35";"35.50";"36.00";"22/03/2019 17:35";"CET";"4194";"150558.30"
"MAKHEIA BSA";"FR0013356656";"MAKBS";"Euronext Growth Paris";"EUR";"0.0058";"0.0058";"0.0055";"0.0058";"22/03/2019 15:13";"CET";"50001";"287.1105"
"MAKHEIA GROUP";"FR0000072993";"ALMAK";"Euronext Growth Paris";"EUR";"1.215";"1.215";"1.215";"1.215";"22/03/2019 16:47";"CET";"51";"61.965"
"MALIN CORP. PLC";"IE00BVGC3741";"MLC";"Euronext Growth Dublin";"EUR";"5.20";"5.50";"5.20";"5.50";"19/03/2019 23:00";"UTC";"463";"2430.80"
"MALTERIES FCO-BEL.";"FR0000030074";"MALT";"Euronext Paris";"EUR";"625.00";"625.00";"625.00";"625.00";"13/03/2019 11:30";"CET";"16";"10000.00"
"MANITOU BF";"FR0000038606";"MTU";"Euronext Paris";"EUR";"25.25";"25.40";"23.60";"23.60";"22/03/2019 17:35";"CET";"35723";"869092.50"
"MANUTAN INTL";"FR0000032302";"MAN";"Euronext Paris";"EUR";"64.80";"67.00";"64.80";"66.00";"22/03/2019 17:14";"CET";"554";"36556.00"
"MARATHON OIL CORP";"US5658491064";"MROIL";"Traded not listed Brussels";"USD";"59.00";"-";"-";"59.00";"03/11/2005 00:00";"CET";"-";"-"
"MAROC TELECOM";"MA0000011488";"IAM";"Euronext Paris";"EUR";"13.45";"13.45";"13.45";"13.45";"22/03/2019 15:48";"CET";"276";"3712.20"
"MARTIFER";"PTMFR0AM0003";"MAR";"Euronext Lisbon";"EUR";"0.481";"0.481";"0.465";"0.478";"22/03/2019 22:19";"BST";"38664";"18318.759"
"MASTRAD";"FR0004155687";"ALMAS";"Euronext Growth Paris";"EUR";"0.479";"0.479";"0.479";"0.479";"22/03/2019 09:27";"CET";"10";"4.79"
"MAUNA KEA TECH";"FR0010609263";"MKEA";"Euronext Paris";"EUR";"1.63";"1.63";"1.59";"1.602";"22/03/2019 17:35";"CET";"78807";"126791.942"
"MAUREL ET PROM";"FR0000051070";"MAU";"Euronext Paris";"EUR";"3.84";"3.84";"3.655";"3.685";"22/03/2019 17:35";"CET";"197349";"734580.89"
"MBWS";"FR0000060873";"MBWS";"Euronext Paris";"EUR";"3.50";"3.50";"3.31";"3.39";"22/03/2019 17:35";"CET";"32573";"110715.035"
"MBWS BSAR 2023";"FR0013066313";"MBWSZ";"Euronext Paris";"EUR";"1.20";"1.20";"1.20";"1.20";"21/12/2018 11:35";"CET";"2951";"3541.20"
"MCPHY ENERGY";"FR0011742329";"MCPHY";"Euronext Paris";"EUR";"5.00";"5.00";"4.89";"4.90";"22/03/2019 17:35";"CET";"10092";"49851.045"
"MDXHEALTH";"BE0003844611";"MDXH";"Euronext Brussels";"EUR";"1.618";"1.648";"1.578";"1.648";"22/03/2019 17:36";"CET";"335887";"542591.73"
"MECELEC BSA DEC19";"FR0012057149";"MCBS2";"Euronext Growth Paris";"EUR";"0.03";"0.03";"0.03";"0.03";"19/03/2019 11:23";"CET";"3350";"100.50"
"MECELEC COMPOSITES";"FR0000061244";"ALMEC";"Euronext Growth Paris";"EUR";"1.94";"1.985";"1.82";"1.88";"22/03/2019 10:40";"CET";"7323";"13969.53"
"MEDASYS";"FR0000052623";"MED";"Euronext Paris";"EUR";"0.307";"0.307";"0.303";"0.303";"22/03/2019 13:41";"CET";"17692";"5422.452"
"MEDIA 6";"FR0000064404";"EDI";"Euronext Paris";"EUR";"12.00";"12.00";"12.00";"12.00";"22/03/2019 09:00";"CET";"1";"12.00"
"MEDIA CAPITAL";"PTGMC0AM0003";"MCP";"Euronext Lisbon";"EUR";"2.56";"2.56";"2.56";"2.56";"01/03/2019 16:59";"BST";"9540";"24422.40"
"MEDIA LAB";"IT0005324105";"MLLAB";"Euronext Access Paris";"EUR";"5.30";"5.80";"5.30";"5.80";"22/03/2019 16:30";"CET";"52955";"282776.50"
"MEDIAN TECH NV19";"FR0013390697";"MDTNV";"Euronext Growth Paris";"EUR";"-";"-";"-";"-";"-";"-";"-";"-"
"MEDIANTECHNOLOGIES";"FR0011049824";"ALMDT";"Euronext Growth Paris";"EUR";"1.515";"1.515";"1.515";"1.515";"22/03/2019 09:00";"CET";"1";"1.515"
"MEDIAWAN";"FR0013247137";"MDW";"Euronext Paris";"EUR";"11.60";"11.60";"11.15";"11.20";"22/03/2019 17:35";"CET";"18448";"208642.30"
"MEDIAWAN WAR";"FR0013128907";"MDWBS";"Euronext Paris";"EUR";"1.02";"1.02";"1.00";"1.00";"21/03/2019 17:05";"CET";"16420";"16629.70"
"MEDICREA INTERNAT.";"FR0004178572";"ALMED";"Euronext Growth Paris";"EUR";"2.42";"2.42";"2.28";"2.28";"22/03/2019 17:35";"CET";"36864";"85433.77"
"MEDINCELL";"FR0004065605";"MEDCL";"Euronext Paris";"EUR";"6.25";"6.30";"6.25";"6.30";"22/03/2019 16:43";"CET";"101";"636.25"
"MEDIOCREDITO EUROP";"IT0004844848";"MLMCE";"Euronext Access Paris";"EUR";"4.30";"4.30";"4.30";"4.30";"28/11/2012 10:24";"CET";"100";"430.00"
"MELEXIS";"BE0165385973";"MELE";"Euronext Brussels";"EUR";"59.70";"60.50";"59.25";"59.40";"22/03/2019 17:35";"CET";"41899";"2498560.05"
"MEMSCAP REGPT";"FR0010298620";"MEMS";"Euronext Paris";"EUR";"1.98";"1.98";"1.915";"1.94";"22/03/2019 16:00";"CET";"5274";"10184.185"
"MERCIALYS";"FR0010241638";"MERY";"Euronext Paris";"EUR";"12.64";"12.70";"12.53";"12.56";"22/03/2019 17:35";"CET";"81856";"1029354.95"
"MERCK AND CO INC";"US58933Y1055";"MRK";"Euronext Paris";"EUR";"73.00";"73.50";"73.00";"73.50";"22/03/2019 11:53";"CET";"387";"28305.00"
"MERSEN";"FR0000039620";"MRN";"Euronext Paris";"EUR";"29.45";"29.80";"28.55";"28.55";"22/03/2019 17:35";"CET";"44653";"1304039.55"
"MERSEN NV19";"FR0013383544";"MRNNV";"Euronext Paris";"EUR";"26.40";"26.40";"26.40";"26.40";"11/02/2019 11:30";"CET";"5391";"142322.40"
"METABOLIC EXPLORER";"FR0004177046";"METEX";"Euronext Paris";"EUR";"1.518";"1.518";"1.452";"1.452";"22/03/2019 17:35";"CET";"36426";"53411.984"
"METALLIANCE";"FR0010492181";"MLETA";"Euronext Access Paris";"EUR";"9.10";"9.10";"9.10";"9.10";"22/03/2019 16:30";"CET";"1";"9.10"
"METHANOR";"FR0011217710";"ALMET";"Euronext Growth Paris";"EUR";"4.88";"4.88";"4.88";"4.88";"22/03/2019 14:46";"CET";"135";"658.80"
"METHORIOS CAPITAL";"IT0004615396";"ALMTH";"Euronext Growth Paris";"EUR";"0.03";"0.03";"0.03";"0.03";"03/10/2016 09:00";"CET";"1";"0.03"
"METRICS IN BALANCE";"BE0974328602";"MLMIB";"Euronext Access Paris";"EUR";"6.99";"6.99";"6.99";"6.99";"18/05/2018 11:30";"CET";"70";"489.30"
"METROPOLE TV";"FR0000053225";"MMT";"Euronext Paris";"EUR";"16.60";"16.64";"16.45";"16.58";"22/03/2019 17:35";"CET";"87495";"1450327.29"
