Symbol|Security Name|Market Category|Test Issue|Financial Status|Round Lot Size|ETF|NextShares
BCTF|Bancorp 34, Inc. - Common Stock|S|N|N|100|N|N
BCYC|Bicycle Therapeutics plc - American Depositary Shares|Q|N|N|100|N|N
BDGE|Bridge Bancorp, Inc. - Common Stock|Q|N|N|100|N|N
BDSI|BioDelivery Sciences International, Inc. - Common Stock|Q|N|N|100|N|N
BDTX|Black Diamond Therapeutics, Inc. - Common Stock|Q|N|N|100|N|N
BEAM|Beam Therapeutics Inc. - Common Stock|Q|N|N|100|N|N
BEAT|BioTelemetry, Inc. - Common Stock|Q|N|N|100|N|N
BECN|Beacon Roofing Supply, Inc. - Common Stock|Q|N|N|100|N|N
BELFA|Bel Fuse Inc. - Class A Common Stock|Q|N|N|100|N|N
BELFB|Bel Fuse Inc. - Class B Common Stock|Q|N|N|100|N|N
BFC|Bank First Corporation - Common Stock|S|N|N|100|N|N
BFIN|BankFinancial Corporation - Common Stock|Q|N|N|100|N|N
BFIT|Global X Health & Wellness Thematic ETF|G|N|N|100|Y|N
BFRA|Biofrontera AG - American Depositary Shares|S|N|N|100|N|N
BFST|Business First Bancshares, Inc. - Common Stock|Q|N|N|100|N|N
BFYT|Benefytt Technologies, Inc. - Class A Common Stock|G|N|N|100|N|N
BGCP|BGC Partners, Inc. - Class A Common Stock|Q|N|N|100|N|N
BGFV|Big 5 Sporting Goods Corporation - Common Stock|Q|N|N|100|N|N
BGNE|BeiGene, Ltd. - American Depositary Shares|Q|N|N|100|N|N
BGRN|iShares Global Green Bond ETF|G|N|N|100|Y|N
BHAT|Blue Hat Interactive Entertainment Technology - Ordinary Shares|S|N|N|100|N|N
BHF|Brighthouse Financial, Inc. - Common Stock|Q|N|N|100|N|N
BHFAL|Brighthouse Financial, Inc. - 6.25% Junior Subordinated Debentures due 2058|Q|N|N|100|N|N
BHFAP|Brighthouse Financial, Inc. - Depositary Shares 6.6% Non-Cumulative Preferred Stock, Series A|Q|N|N|100|N|N
BHTG|BioHiTech Global, Inc. - Common Stock|S|N|N|100|N|N
BIB|ProShares Ultra Nasdaq Biotechnology|G|N|N|100|Y|N
BICK|First Trust BICK Index Fund|G|N|N|100|Y|N
BIDU|Baidu, Inc. - American Depositary Shares, each representing one tenth Class A ordinary share|Q|N|N|100|N|N
BIIB|Biogen Inc. - Common Stock|Q|N|N|100|N|N
BILI|Bilibili Inc. - American Depositary Shares|Q|N|N|100|N|N
BIMI|BOQI International Medical Inc. - Common Stock|S|N|N|100|N|N
BIOC|Biocept, Inc. - Common Stock|S|N|D|100|N|N
BIOL|Biolase, Inc. - Common Stock|S|N|D|100|N|N
BIS|ProShares UltraShort Nasdaq Biotechnology|G|N|N|100|Y|N
BJK|VanEck Vectors Gaming ETF|G|N|N|100|Y|N
BJRI|BJ's Restaurants, Inc. - Common Stock|Q|N|N|100|N|N
BKCC|BlackRock Capital Investment Corporation - Common Stock|Q|N|N|100|N|N
BKEP|Blueknight Energy Partners L.P., L.L.C. - Common Units representing Limited Partner Interests|G|N|N|100|N|N
BKEPP|Blueknight Energy Partners L.P., L.L.C. - Series A Preferred Units|G|N|N|100|N|N
BKNG|Booking Holdings Inc. - Common Stock|Q|N|N|100|N|N
BKSC|Bank of South Carolina Corp. - Common Stock|S|N|N|100|N|N
